id,group_id,parent_id,child_id,care_date,start_time,end_time,care_type,status,related_request_id,notes,is_editable,edit_deadline,edit_reason,original_start_time,original_end_time,original_care_date,edited_by,edited_at,event_title,event_description,is_group_event,created_at,updated_at,action_type,original_care_id,reschedule_group_id,end_date
ce48c28b-e22b-4bcc-bcd6-30a51face132,7d645479-18ba-498e-9a00-094602679896,2a7f3ce2-69f8-4241-831f-5c3f38f35890,3d9d40ea-b518-4414-810b-c21bbc33573d,2025-10-26,22:00:00,23:00:00,needed,confirmed,169078b6-43bf-4aa9-86ec-9a58aed79ed5," - Open block accepted - Parent receiving care",true,,,,,,,,,,false,2025-10-26 23:59:43.768941+00,2025-10-26 23:59:43.768941+00,new,,,
dea49891-a435-4d26-a638-6b263020b2b6,7d645479-18ba-498e-9a00-094602679896,1ddffe94-817a-4fad-859e-df7adae45e31,a42af785-eb87-4f53-af70-137b2946eee3,2025-10-26,22:00:00,23:00:00,needed,confirmed,717de1b5-8f51-468d-9f67-7a10cfb7fb11," - Open block accepted - Parent receiving care",true,,,,,,,,,,false,2025-10-26 23:57:45.93413+00,2025-10-26 23:57:45.93413+00,new,,,
dbaa7e70-71a1-4866-8099-66144c1aa0a7,7d645479-18ba-498e-9a00-094602679896,1f66fb72-ccfb-4a55-8738-716a12543421,24015a99-6392-4b82-b575-8bf9bf6bef92,2025-10-26,22:00:00,23:00:00,needed,confirmed,cd4e9f87-998c-4045-b737-8adb85d37eb4,care response,true,,,,,,,,,,false,2025-10-26 23:56:45.968502+00,2025-10-26 23:56:45.968502+00,new,,,
609ab459-eb0b-4332-a772-d9a741e1ebcb,7d645479-18ba-498e-9a00-094602679896,1ddffe94-817a-4fad-859e-df7adae45e31,a42af785-eb87-4f53-af70-137b2946eee3,2025-10-27,07:30:00,11:30:00,needed,confirmed,8e98e664-99f2-42fb-b983-3f247f82e358," - Open block accepted - Parent receiving care",true,,,,,,,,,,false,2025-10-26 23:59:08.910489+00,2025-10-26 23:59:08.910489+00,new,,,
876d6e60-90fe-445e-8031-226503d86c97,7d645479-18ba-498e-9a00-094602679896,88416767-8bca-46c7-9dd3-f191a134b46b,5f093c84-ed8c-44b2-a2aa-3673c760b627,2025-10-27,07:30:00,11:30:00,needed,confirmed,cd4e9f87-998c-4045-b737-8adb85d37eb4,Reciprocal care for responder,true,,,,,,,,,,false,2025-10-26 23:56:45.968502+00,2025-10-26 23:56:45.968502+00,new,,,
aacc4cb6-0716-43e5-9304-b5cf158e9f3c,7d645479-18ba-498e-9a00-094602679896,2a7f3ce2-69f8-4241-831f-5c3f38f35890,3d9d40ea-b518-4414-810b-c21bbc33573d,2025-10-27,07:30:00,11:30:00,needed,confirmed,0a99273c-3e85-4465-9b3b-72fadb1aff79," - Open block accepted - Parent receiving care",true,,,,,,,,,,false,2025-10-26 23:58:20.030637+00,2025-10-26 23:58:20.030637+00,new,,,
68179b79-a38e-4f97-8792-83bcfb6b0147,7d645479-18ba-498e-9a00-094602679896,88416767-8bca-46c7-9dd3-f191a134b46b,5f093c84-ed8c-44b2-a2aa-3673c760b627,2025-10-28,13:00:00,17:00:00,needed,confirmed,169078b6-43bf-4aa9-86ec-9a58aed79ed5," - Open block accepted - sender receiving care",true,,,,,,,,,,false,2025-10-26 23:59:43.768941+00,2025-10-26 23:59:43.768941+00,new,,,
5deaf8e6-7d09-490f-868b-e429e6eb371e,7d645479-18ba-498e-9a00-094602679896,88416767-8bca-46c7-9dd3-f191a134b46b,5f093c84-ed8c-44b2-a2aa-3673c760b627,2025-10-29,13:05:00,17:05:00,needed,confirmed,717de1b5-8f51-468d-9f67-7a10cfb7fb11," - Open block accepted - sender receiving care",true,,,,,,,,,,false,2025-10-26 23:57:45.93413+00,2025-10-26 23:57:45.93413+00,new,,,
f1c769b3-e3df-4c1a-9607-ff2fba5ec0ec,7d645479-18ba-498e-9a00-094602679896,1f66fb72-ccfb-4a55-8738-716a12543421,24015a99-6392-4b82-b575-8bf9bf6bef92,2025-10-30,14:00:00,18:00:00,needed,confirmed,8e98e664-99f2-42fb-b983-3f247f82e358," - Open block accepted - sender receiving care",true,,,,,,,,,,false,2025-10-26 23:59:08.910489+00,2025-10-26 23:59:08.910489+00,new,,,
501eefe1-b965-4b0d-9427-f69696dc74a0,7d645479-18ba-498e-9a00-094602679896,1f66fb72-ccfb-4a55-8738-716a12543421,24015a99-6392-4b82-b575-8bf9bf6bef92,2025-10-31,14:05:00,18:05:00,needed,confirmed,0a99273c-3e85-4465-9b3b-72fadb1aff79," - Open block accepted - sender receiving care",true,,,,,,,,,,false,2025-10-26 23:58:20.030637+00,2025-10-26 23:58:20.030637+00,new,,,
