id,created_at,scheduled_care_id,child_id,providing_parent_id,notes,action_type,original_children_id
cc2af91b-4e30-4141-947e-ca7671848194,2025-11-07 01:57:17.30605+00,1dbe3624-f422-48a1-944d-30ac58685249,24015a99-6392-4b82-b575-8bf9bf6bef92,2a7f3ce2-69f8-4241-831f-5c3f38f35890,Open block - open block sender child added to accepting parent providing care block,new,
e19982d0-defa-4264-a8a8-46faa5c1141c,2025-11-07 01:57:17.30605+00,1dbe3624-f422-48a1-944d-30ac58685249,3d9d40ea-b518-4414-810b-c21bbc33573d,2a7f3ce2-69f8-4241-831f-5c3f38f35890,Open block - accepting parent child added to their providing care block,new,
51616bdc-d88c-4150-9a2a-d528b4599c8a,2025-11-07 01:54:46.854276+00,3b2e5b50-cc80-41ce-aad1-5a06337a5d46,3d9d40ea-b518-4414-810b-c21bbc33573d,1ddffe94-817a-4fad-859e-df7adae45e31,Responder child needs care from requester,new,
17830e1b-539c-4893-9fd8-e3c559274918,2025-11-07 01:54:46.854276+00,3b2e5b50-cc80-41ce-aad1-5a06337a5d46,a42af785-eb87-4f53-af70-137b2946eee3,1ddffe94-817a-4fad-859e-df7adae45e31,Requester child needs care from requester,new,
9cd572ff-cdc1-4103-a264-06f9f639c076,2025-11-07 02:13:54.896534+00,3cda2827-44f9-4d2e-8468-cc3d310edce1,24015a99-6392-4b82-b575-8bf9bf6bef92,2a7f3ce2-69f8-4241-831f-5c3f38f35890,Open block - open block sender child added to their receiving care block,new,
eb524d64-0e65-4dbd-8cff-bf03aa4eaa5c,2025-11-07 02:13:54.896534+00,3cda2827-44f9-4d2e-8468-cc3d310edce1,3d9d40ea-b518-4414-810b-c21bbc33573d,2a7f3ce2-69f8-4241-831f-5c3f38f35890,Open block - accepting parent child added to open block sender receiving care block,new,
92fd7ae2-4212-43f4-a687-5ce7064a924e,2025-11-07 02:13:54.896534+00,5a6526eb-52b5-4929-9899-9705ae8bd6b6,3d9d40ea-b518-4414-810b-c21bbc33573d,1f66fb72-ccfb-4a55-8738-716a12543421,Open block - accepting parent child added to existing provider block,new,
3c6b968c-35cb-478b-ae08-a57ce022f373,2025-11-07 02:07:38.098438+00,5c9ee97e-00ab-4c6e-aec3-14494b6e59f6,24015a99-6392-4b82-b575-8bf9bf6bef92,1f66fb72-ccfb-4a55-8738-716a12543421,Provider child in needed block,,
8324a186-1134-4979-958b-22c944ac9530,2025-11-07 02:07:38.098438+00,5c9ee97e-00ab-4c6e-aec3-14494b6e59f6,3d9d40ea-b518-4414-810b-c21bbc33573d,1f66fb72-ccfb-4a55-8738-716a12543421,Child needing care in rescheduled block,,
c8d3dd34-3bb1-46cd-ab60-4fa4123492a8,2025-11-07 02:13:54.896534+00,653db833-a821-43f4-9d44-3d75274c51ab,24015a99-6392-4b82-b575-8bf9bf6bef92,2a7f3ce2-69f8-4241-831f-5c3f38f35890,Open block - open block sender child added to accepting parent providing care block,new,
