id,created_at,scheduled_care_id,child_id,providing_parent_id,notes,action_type,original_children_id
3af711a5-eef7-48cd-90c9-52e3568c6336,2025-10-26 23:56:45.968502+00,15b9e412-eee7-488d-be6c-2042a22fb176,24015a99-6392-4b82-b575-8bf9bf6bef92,88416767-8bca-46c7-9dd3-f191a134b46b,Requester child needs care from responder,new,
0581e2d7-5fd9-4be4-a891-8ef371c69769,2025-10-26 23:59:43.768941+00,15b9e412-eee7-488d-be6c-2042a22fb176,3d9d40ea-b518-4414-810b-c21bbc33573d,88416767-8bca-46c7-9dd3-f191a134b46b,Open block - accepting parent child added to existing provider block,new,
1efdea37-cbc6-4e63-aed7-394f9e5aa53d,2025-10-26 23:57:45.93413+00,15b9e412-eee7-488d-be6c-2042a22fb176,a42af785-eb87-4f53-af70-137b2946eee3,88416767-8bca-46c7-9dd3-f191a134b46b,Open block - accepting parent child added to existing provider block,new,
9ce08c7a-33be-4e26-8c98-efbd85926dbd,2025-10-26 23:59:08.910489+00,33b18bf4-87fe-467b-8354-932187091d23,24015a99-6392-4b82-b575-8bf9bf6bef92,1ddffe94-817a-4fad-859e-df7adae45e31,Open block - open block sender child added to accepting parent providing care block,new,
8400f44e-59d9-4b6d-9bb5-fcbd0e1b0393,2025-10-26 23:59:08.910489+00,33b18bf4-87fe-467b-8354-932187091d23,a42af785-eb87-4f53-af70-137b2946eee3,1ddffe94-817a-4fad-859e-df7adae45e31,Open block - accepting parent child added to their providing care block,new,
35ad5458-4970-45ef-905b-6175a95d92d1,2025-10-26 23:58:20.030637+00,3897953b-18ed-4e0c-a901-bac2202553c6,24015a99-6392-4b82-b575-8bf9bf6bef92,2a7f3ce2-69f8-4241-831f-5c3f38f35890,Open block - open block sender child added to accepting parent providing care block,new,
f355145b-f464-4035-980b-8beb9c621388,2025-10-26 23:58:20.030637+00,3897953b-18ed-4e0c-a901-bac2202553c6,3d9d40ea-b518-4414-810b-c21bbc33573d,2a7f3ce2-69f8-4241-831f-5c3f38f35890,Open block - accepting parent child added to their providing care block,new,
6384c00f-3dfd-4d9a-aa70-b2c77bb0fffe,2025-10-26 23:58:20.030637+00,501eefe1-b965-4b0d-9427-f69696dc74a0,24015a99-6392-4b82-b575-8bf9bf6bef92,2a7f3ce2-69f8-4241-831f-5c3f38f35890,Open block - open block sender child added to their receiving care block,new,
73dbd270-8c21-43fe-884d-b7d2d585cb21,2025-10-26 23:58:20.030637+00,501eefe1-b965-4b0d-9427-f69696dc74a0,3d9d40ea-b518-4414-810b-c21bbc33573d,2a7f3ce2-69f8-4241-831f-5c3f38f35890,Open block - accepting parent child added to open block sender receiving care block,new,
4913bc4a-e668-439c-bf99-2e837f9bc414,2025-10-26 23:57:45.93413+00,5deaf8e6-7d09-490f-868b-e429e6eb371e,5f093c84-ed8c-44b2-a2aa-3673c760b627,1ddffe94-817a-4fad-859e-df7adae45e31,Open block - open block sender child added to their receiving care block,new,
7dd3b4c1-5465-4f0c-8856-d3bbcb9476db,2025-10-26 23:57:45.93413+00,5deaf8e6-7d09-490f-868b-e429e6eb371e,a42af785-eb87-4f53-af70-137b2946eee3,1ddffe94-817a-4fad-859e-df7adae45e31,Open block - accepting parent child added to open block sender receiving care block,new,
e75411b5-ab49-4eae-a05e-23504b7153f7,2025-10-26 23:59:08.910489+00,609ab459-eb0b-4332-a772-d9a741e1ebcb,24015a99-6392-4b82-b575-8bf9bf6bef92,1f66fb72-ccfb-4a55-8738-716a12543421,Open block - child from original block added to accepting parent receiving care,new,
01d92f9a-66ec-4004-812b-163dc51fb813,2025-10-26 23:59:08.910489+00,609ab459-eb0b-4332-a772-d9a741e1ebcb,3d9d40ea-b518-4414-810b-c21bbc33573d,1f66fb72-ccfb-4a55-8738-716a12543421,Open block - child from original block added to accepting parent receiving care,new,
f4dff5b8-ea70-440e-8524-ac63371af2ba,2025-10-26 23:59:08.910489+00,609ab459-eb0b-4332-a772-d9a741e1ebcb,5f093c84-ed8c-44b2-a2aa-3673c760b627,1f66fb72-ccfb-4a55-8738-716a12543421,Open block - child from original block added to accepting parent receiving care,new,
558343ea-ef3b-44a5-a0cd-f9876a221540,2025-10-26 23:59:08.910489+00,609ab459-eb0b-4332-a772-d9a741e1ebcb,a42af785-eb87-4f53-af70-137b2946eee3,1f66fb72-ccfb-4a55-8738-716a12543421,Open block - child from original block added to accepting parent receiving care,new,
fce293c6-d8f0-4c0e-993c-573e03795792,2025-10-26 23:59:43.768941+00,68179b79-a38e-4f97-8792-83bcfb6b0147,3d9d40ea-b518-4414-810b-c21bbc33573d,2a7f3ce2-69f8-4241-831f-5c3f38f35890,Open block - accepting parent child added to open block sender receiving care block,new,
984147de-5aa0-494e-940a-e111b9f56b70,2025-10-26 23:59:43.768941+00,68179b79-a38e-4f97-8792-83bcfb6b0147,5f093c84-ed8c-44b2-a2aa-3673c760b627,2a7f3ce2-69f8-4241-831f-5c3f38f35890,Open block - open block sender child added to their receiving care block,new,
a6e20715-d51d-4b72-a4d7-537850945d64,2025-10-26 23:57:45.93413+00,7804b1c6-87cb-4baf-be5b-7107ec06788f,5f093c84-ed8c-44b2-a2aa-3673c760b627,1ddffe94-817a-4fad-859e-df7adae45e31,Open block - open block sender child added to accepting parent providing care block,new,
2eecbaa6-dc27-49a5-a4bb-c672735d8a9d,2025-10-26 23:57:45.93413+00,7804b1c6-87cb-4baf-be5b-7107ec06788f,a42af785-eb87-4f53-af70-137b2946eee3,1ddffe94-817a-4fad-859e-df7adae45e31,Open block - accepting parent child added to their providing care block,new,
55b03a85-5df5-41bf-b7f9-08adda35d164,2025-10-26 23:56:45.968502+00,876d6e60-90fe-445e-8031-226503d86c97,24015a99-6392-4b82-b575-8bf9bf6bef92,1f66fb72-ccfb-4a55-8738-716a12543421,Requester child needs care from requester,new,
a73f5c16-f7e0-42ca-bba9-c97279a6661c,2025-10-26 23:58:20.030637+00,876d6e60-90fe-445e-8031-226503d86c97,3d9d40ea-b518-4414-810b-c21bbc33573d,1f66fb72-ccfb-4a55-8738-716a12543421,Open block - accepting parent child added to existing receiving block,new,
c92c58d8-52c1-4588-bc30-06174c672129,2025-10-26 23:56:45.968502+00,876d6e60-90fe-445e-8031-226503d86c97,5f093c84-ed8c-44b2-a2aa-3673c760b627,1f66fb72-ccfb-4a55-8738-716a12543421,Responder child needs care from requester,new,
7fec43ff-2bd2-4d2a-85f3-633012c51fb4,2025-10-26 23:59:08.910489+00,876d6e60-90fe-445e-8031-226503d86c97,a42af785-eb87-4f53-af70-137b2946eee3,1f66fb72-ccfb-4a55-8738-716a12543421,Open block - accepting parent child added to existing receiving block,new,
624a59ea-3cac-413b-a7c5-338c3ffde5ac,2025-10-26 23:58:20.030637+00,aacc4cb6-0716-43e5-9304-b5cf158e9f3c,24015a99-6392-4b82-b575-8bf9bf6bef92,1f66fb72-ccfb-4a55-8738-716a12543421,Open block - child from original block added to accepting parent receiving care,new,
08ef8b67-e330-4656-994e-e35b7f374526,2025-10-26 23:58:20.030637+00,aacc4cb6-0716-43e5-9304-b5cf158e9f3c,3d9d40ea-b518-4414-810b-c21bbc33573d,1f66fb72-ccfb-4a55-8738-716a12543421,Open block - child from original block added to accepting parent receiving care,new,
dbb60d41-9f9b-4e10-a11e-f0ac27d8be16,2025-10-26 23:58:20.030637+00,aacc4cb6-0716-43e5-9304-b5cf158e9f3c,5f093c84-ed8c-44b2-a2aa-3673c760b627,1f66fb72-ccfb-4a55-8738-716a12543421,Open block - child from original block added to accepting parent receiving care,new,
36f20c9e-eec0-4e29-8f02-6d8a98db25de,2025-10-26 23:59:08.910489+00,aacc4cb6-0716-43e5-9304-b5cf158e9f3c,a42af785-eb87-4f53-af70-137b2946eee3,1f66fb72-ccfb-4a55-8738-716a12543421,Open block - accepting parent child added to existing receiving block,new,
2a372791-6aae-40e8-91f0-8bc4f4b2ea6d,2025-10-26 23:59:43.768941+00,ce48c28b-e22b-4bcc-bcd6-30a51face132,24015a99-6392-4b82-b575-8bf9bf6bef92,88416767-8bca-46c7-9dd3-f191a134b46b,Open block - child from original block added to accepting parent receiving care,new,
6b0c4714-004b-4de1-9719-e432e10bb227,2025-10-26 23:59:43.768941+00,ce48c28b-e22b-4bcc-bcd6-30a51face132,3d9d40ea-b518-4414-810b-c21bbc33573d,88416767-8bca-46c7-9dd3-f191a134b46b,Open block - child from original block added to accepting parent receiving care,new,
b1e212af-50c1-4eac-8134-a9ac409dd942,2025-10-26 23:59:43.768941+00,ce48c28b-e22b-4bcc-bcd6-30a51face132,5f093c84-ed8c-44b2-a2aa-3673c760b627,88416767-8bca-46c7-9dd3-f191a134b46b,Open block - child from original block added to accepting parent receiving care,new,
643dee19-22ce-45e9-94b0-976efd1adc50,2025-10-26 23:59:43.768941+00,ce48c28b-e22b-4bcc-bcd6-30a51face132,a42af785-eb87-4f53-af70-137b2946eee3,88416767-8bca-46c7-9dd3-f191a134b46b,Open block - child from original block added to accepting parent receiving care,new,
7f1c1698-0a57-4afd-acf1-7d2c4f5ac479,2025-10-26 23:59:43.768941+00,d0ba4be9-023f-4997-bac7-b8f9dcc2b579,3d9d40ea-b518-4414-810b-c21bbc33573d,2a7f3ce2-69f8-4241-831f-5c3f38f35890,Open block - accepting parent child added to their providing care block,new,
2e647d06-f907-481b-9d1c-26d5880f6ea7,2025-10-26 23:59:43.768941+00,d0ba4be9-023f-4997-bac7-b8f9dcc2b579,5f093c84-ed8c-44b2-a2aa-3673c760b627,2a7f3ce2-69f8-4241-831f-5c3f38f35890,Open block - open block sender child added to accepting parent providing care block,new,
f044d8a4-08ab-490e-bcf9-7c4517299cf5,2025-10-26 23:56:45.968502+00,dbaa7e70-71a1-4866-8099-66144c1aa0a7,24015a99-6392-4b82-b575-8bf9bf6bef92,88416767-8bca-46c7-9dd3-f191a134b46b,Requester child needs care from responder,new,
2530205c-92be-4136-8ec1-5904948fdce3,2025-10-26 23:59:43.768941+00,dbaa7e70-71a1-4866-8099-66144c1aa0a7,3d9d40ea-b518-4414-810b-c21bbc33573d,88416767-8bca-46c7-9dd3-f191a134b46b,Open block - accepting parent child added to existing receiving block,new,
74a4ca5c-c6b9-460a-a015-bc6b3b5a18b1,2025-10-26 23:56:45.968502+00,dbaa7e70-71a1-4866-8099-66144c1aa0a7,5f093c84-ed8c-44b2-a2aa-3673c760b627,88416767-8bca-46c7-9dd3-f191a134b46b,Responder child needs care from responder,new,
32ade1cb-34e1-4361-8493-4ddb6f8fd77b,2025-10-26 23:57:45.93413+00,dbaa7e70-71a1-4866-8099-66144c1aa0a7,a42af785-eb87-4f53-af70-137b2946eee3,88416767-8bca-46c7-9dd3-f191a134b46b,Open block - accepting parent child added to existing receiving block,new,
a7910350-cce2-43d4-8dae-35e1e2cfb0f9,2025-10-26 23:57:45.93413+00,dea49891-a435-4d26-a638-6b263020b2b6,24015a99-6392-4b82-b575-8bf9bf6bef92,88416767-8bca-46c7-9dd3-f191a134b46b,Open block - child from original block added to accepting parent receiving care,new,
c9d958a3-510d-4a19-a720-911ae050f542,2025-10-26 23:59:43.768941+00,dea49891-a435-4d26-a638-6b263020b2b6,3d9d40ea-b518-4414-810b-c21bbc33573d,88416767-8bca-46c7-9dd3-f191a134b46b,Open block - accepting parent child added to existing receiving block,new,
5481c6c1-b68a-4d09-8cfd-9d3c8ed3f0bc,2025-10-26 23:57:45.93413+00,dea49891-a435-4d26-a638-6b263020b2b6,5f093c84-ed8c-44b2-a2aa-3673c760b627,88416767-8bca-46c7-9dd3-f191a134b46b,Open block - child from original block added to accepting parent receiving care,new,
