id,group_id,parent_id,child_id,care_date,start_time,end_time,care_type,status,related_request_id,notes,is_editable,edit_deadline,edit_reason,original_start_time,original_end_time,original_care_date,edited_by,edited_at,event_title,event_description,is_group_event,created_at,updated_at,action_type,original_care_id,reschedule_group_id
07068a99-3221-4a19-8860-f8e42af577bf,7d645479-18ba-498e-9a00-094602679896,88416767-8bca-46c7-9dd3-f191a134b46b,5f093c84-ed8c-44b2-a2aa-3673c760b627,2025-10-24,13:00:00,17:00:00,needed,confirmed,8b81f9bb-a9ec-4696-8bd9-f17354459790," - Open block accepted - requester receiving care",true,,,,,,,,,,false,2025-10-22 18:23:11.363517+00,2025-10-22 18:23:11.363517+00,new,,
3f8a7419-3c72-44a7-b736-e89fcf388d59,7d645479-18ba-498e-9a00-094602679896,2a7f3ce2-69f8-4241-831f-5c3f38f35890,3d9d40ea-b518-4414-810b-c21bbc33573d,2025-10-22,15:00:00,16:00:00,needed,rescheduled,d3c53641-0afa-445f-8e7d-f5988bac8aab," - Open block accepted - Parent receiving care - Pending reschedule response",true,,,,,,,,,,false,2025-10-22 18:23:26.386754+00,2025-10-22 18:23:26.386754+00,rescheduled,,
3fe9d8d9-e918-40bb-b1a0-970d07c7f605,7d645479-18ba-498e-9a00-094602679896,88416767-8bca-46c7-9dd3-f191a134b46b,24015a99-6392-4b82-b575-8bf9bf6bef92,2025-10-22,15:00:00,16:00:00,provided,rescheduled,2220ec88-20d3-48bf-800b-8be0408fc2d4,care response - Pending reschedule responses,true,,,,,,,,,,false,2025-10-22 18:22:25.847942+00,2025-10-22 18:22:25.847942+00,rescheduled,,
536bc04e-913a-4eb6-beda-34cbaf09eb2f,7d645479-18ba-498e-9a00-094602679896,1f66fb72-ccfb-4a55-8738-716a12543421,5f093c84-ed8c-44b2-a2aa-3673c760b627,2025-10-23,07:30:00,11:30:00,provided,confirmed,2220ec88-20d3-48bf-800b-8be0408fc2d4,Reciprocal care provided by requester,true,,,,,,,,,,false,2025-10-22 18:22:25.847942+00,2025-10-22 18:22:25.847942+00,new,,
869bec57-c730-47f1-8776-9494e95b2189,7d645479-18ba-498e-9a00-094602679896,1ddffe94-817a-4fad-859e-df7adae45e31,a42af785-eb87-4f53-af70-137b2946eee3,2025-10-24,13:00:00,17:00:00,provided,confirmed,8b81f9bb-a9ec-4696-8bd9-f17354459790," - Open block accepted - Parent providing care",true,,,,,,,,,,false,2025-10-22 18:23:11.363517+00,2025-10-22 18:23:11.363517+00,new,,
890bfb28-c179-4380-8891-5c791d2a7645,7d645479-18ba-498e-9a00-094602679896,88416767-8bca-46c7-9dd3-f191a134b46b,5f093c84-ed8c-44b2-a2aa-3673c760b627,2025-10-25,13:05:00,17:05:00,needed,confirmed,d3c53641-0afa-445f-8e7d-f5988bac8aab," - Open block accepted - requester receiving care",true,,,,,,,,,,false,2025-10-22 18:23:26.386754+00,2025-10-22 18:23:26.386754+00,new,,
899b49be-2429-4689-9aa7-5ff927555010,7d645479-18ba-498e-9a00-094602679896,1f66fb72-ccfb-4a55-8738-716a12543421,24015a99-6392-4b82-b575-8bf9bf6bef92,2025-10-22,15:00:00,16:00:00,needed,rescheduled,2220ec88-20d3-48bf-800b-8be0408fc2d4,care response - Pending reschedule response,true,,,,,,,,,,false,2025-10-22 18:22:25.847942+00,2025-10-22 18:22:25.847942+00,rescheduled,,
8f1513d8-596c-4cdd-ad2a-b8bb2003c558,7d645479-18ba-498e-9a00-094602679896,2a7f3ce2-69f8-4241-831f-5c3f38f35890,3d9d40ea-b518-4414-810b-c21bbc33573d,2025-10-25,13:05:00,17:05:00,provided,confirmed,d3c53641-0afa-445f-8e7d-f5988bac8aab," - Open block accepted - Parent providing care",true,,,,,,,,,,false,2025-10-22 18:23:26.386754+00,2025-10-22 18:23:26.386754+00,new,,
d4fd6eb1-8c63-465b-8a03-912ea19ef2a8,7d645479-18ba-498e-9a00-094602679896,88416767-8bca-46c7-9dd3-f191a134b46b,5f093c84-ed8c-44b2-a2aa-3673c760b627,2025-10-23,07:30:00,11:30:00,needed,confirmed,2220ec88-20d3-48bf-800b-8be0408fc2d4,Reciprocal care for responder,true,,,,,,,,,,false,2025-10-22 18:22:25.847942+00,2025-10-22 18:22:25.847942+00,new,,
e9fa97d5-b7ff-41c0-b38a-849c7eb0dfd5,7d645479-18ba-498e-9a00-094602679896,1ddffe94-817a-4fad-859e-df7adae45e31,a42af785-eb87-4f53-af70-137b2946eee3,2025-10-22,15:00:00,16:00:00,needed,rescheduled,8b81f9bb-a9ec-4696-8bd9-f17354459790," - Open block accepted - Parent receiving care - Pending reschedule response",true,,,,,,,,,,false,2025-10-22 18:23:11.363517+00,2025-10-22 18:23:11.363517+00,rescheduled,,
